channel,peak_time,peak_flux,flare_class
Soft (SoLEXS proxy),2017-09-04 00:40:00,1.9768654e-06,C-class
Hard (HEL1OS proxy),2017-09-04 02:54:00,1.2787557e-07,N/A
Soft (SoLEXS proxy),2017-09-04 02:57:00,2.1842513e-06,C-class
Hard (HEL1OS proxy),2017-09-04 04:09:00,2.1730645e-07,N/A
Soft (SoLEXS proxy),2017-09-04 04:11:00,2.6604087e-06,C-class
Hard (HEL1OS proxy),2017-09-04 05:45:00,2.837758e-06,N/A
Soft (SoLEXS proxy),2017-09-04 05:49:00,1.8204042e-05,M-class
Hard (HEL1OS proxy),2017-09-04 08:19:00,2.8234254e-07,N/A
Soft (SoLEXS proxy),2017-09-04 08:19:00,4.3500813e-06,C-class
Hard (HEL1OS proxy),2017-09-04 09:41:00,2.0245429e-07,N/A
Hard (HEL1OS proxy),2017-09-04 10:41:00,3.621036e-07,N/A
Soft (SoLEXS proxy),2017-09-04 10:41:00,4.2099637e-06,C-class
Hard (HEL1OS proxy),2017-09-04 12:15:00,1.158261e-06,N/A
Soft (SoLEXS proxy),2017-09-04 12:25:00,1.19593615e-05,M-class
Hard (HEL1OS proxy),2017-09-04 14:13:00,6.932113e-07,N/A
Soft (SoLEXS proxy),2017-09-04 14:13:00,8.054068e-06,C-class
Hard (HEL1OS proxy),2017-09-04 15:30:00,3.6741117e-06,N/A
Soft (SoLEXS proxy),2017-09-04 15:30:00,2.165057e-05,M-class
Hard (HEL1OS proxy),2017-09-04 16:45:00,5.41147e-07,N/A
Soft (SoLEXS proxy),2017-09-04 16:46:00,5.8965347e-06,C-class
Hard (HEL1OS proxy),2017-09-04 18:21:00,1.6451679e-06,N/A
Soft (SoLEXS proxy),2017-09-04 18:22:00,1.4581666e-05,M-class
Hard (HEL1OS proxy),2017-09-04 19:32:00,2.7571841e-06,N/A
Hard (HEL1OS proxy),2017-09-04 20:32:00,1.5777632e-05,N/A
Soft (SoLEXS proxy),2017-09-04 20:33:00,7.907677e-05,M-class
Hard (HEL1OS proxy),2017-09-04 22:14:00,3.5026078e-06,N/A
Soft (SoLEXS proxy),2017-09-04 22:14:00,3.0793202e-05,M-class
Hard (HEL1OS proxy),2017-09-04 23:46:00,6.872614e-07,N/A
Soft (SoLEXS proxy),2017-09-04 23:46:00,1.0140387e-05,M-class
Hard (HEL1OS proxy),2017-09-05 01:07:00,1.3312178e-05,N/A
Soft (SoLEXS proxy),2017-09-05 01:08:00,6.0149723e-05,M-class
Hard (HEL1OS proxy),2017-09-05 03:50:00,1.3270958e-06,N/A
Soft (SoLEXS proxy),2017-09-05 03:51:00,1.4469263e-05,M-class
Hard (HEL1OS proxy),2017-09-05 04:53:00,7.342354e-06,N/A
Soft (SoLEXS proxy),2017-09-05 04:53:00,4.6418692e-05,M-class
Soft (SoLEXS proxy),2017-09-05 06:40:00,5.465582e-05,M-class
Hard (HEL1OS proxy),2017-09-05 06:40:00,1.1412373e-05,N/A
Soft (SoLEXS proxy),2017-09-05 08:12:00,6.224202e-06,C-class
Hard (HEL1OS proxy),2017-09-05 08:12:00,4.6684363e-07,N/A
Hard (HEL1OS proxy),2017-09-05 10:18:00,8.128112e-07,N/A
Soft (SoLEXS proxy),2017-09-05 10:19:00,7.810848e-06,C-class
Hard (HEL1OS proxy),2017-09-05 12:15:00,3.273226e-07,N/A
Soft (SoLEXS proxy),2017-09-05 12:16:00,3.626465e-06,C-class
Hard (HEL1OS proxy),2017-09-05 13:33:00,1.1221632e-06,N/A
Soft (SoLEXS proxy),2017-09-05 13:34:00,9.97166e-06,C-class
Soft (SoLEXS proxy),2017-09-05 15:16:00,2.0317038e-06,C-class
Hard (HEL1OS proxy),2017-09-05 16:18:00,6.6683305e-07,N/A
Soft (SoLEXS proxy),2017-09-05 16:19:00,5.3028784e-06,C-class
Soft (SoLEXS proxy),2017-09-05 17:43:00,3.327715e-05,M-class
Hard (HEL1OS proxy),2017-09-05 17:43:00,6.257946e-06,N/A
Hard (HEL1OS proxy),2017-09-05 20:59:00,1.677595e-07,N/A
Soft (SoLEXS proxy),2017-09-05 21:12:00,2.1862613e-06,C-class
Soft (SoLEXS proxy),2017-09-06 02:20:00,2.6293624e-06,C-class
Hard (HEL1OS proxy),2017-09-06 02:20:00,1.6804674e-07,N/A
Hard (HEL1OS proxy),2017-09-06 04:45:00,1.4560952e-07,N/A
Soft (SoLEXS proxy),2017-09-06 04:46:00,2.2518584e-06,C-class
Hard (HEL1OS proxy),2017-09-06 06:20:00,1.4442861e-07,N/A
Soft (SoLEXS proxy),2017-09-06 06:22:00,2.3713626e-06,C-class
Hard (HEL1OS proxy),2017-09-06 07:33:00,4.5646047e-07,N/A
Soft (SoLEXS proxy),2017-09-06 07:34:00,3.8379894e-06,C-class
Hard (HEL1OS proxy),2017-09-06 09:26:00,2.9495504e-05,N/A
Soft (SoLEXS proxy),2017-09-06 09:27:00,0.000110487286,X-class
Hard (HEL1OS proxy),2017-09-06 12:01:00,0.0004953166,N/A
Soft (SoLEXS proxy),2017-09-06 12:02:00,0.001337235,X-class
Hard (HEL1OS proxy),2017-09-06 14:42:00,8.149175e-06,N/A
Soft (SoLEXS proxy),2017-09-06 14:43:00,6.700215e-05,M-class
Hard (HEL1OS proxy),2017-09-06 15:55:00,6.4687965e-06,N/A
Soft (SoLEXS proxy),2017-09-06 15:56:00,3.7225516e-05,M-class
Hard (HEL1OS proxy),2017-09-06 17:29:00,1.4307084e-06,N/A
Soft (SoLEXS proxy),2017-09-06 17:30:00,1.5117517e-05,M-class
Hard (HEL1OS proxy),2017-09-06 19:29:00,2.79218e-06,N/A
Soft (SoLEXS proxy),2017-09-06 19:30:00,2.0442432e-05,M-class
Hard (HEL1OS proxy),2017-09-06 21:23:00,3.215646e-07,N/A
Soft (SoLEXS proxy),2017-09-06 21:24:00,5.839433e-06,C-class
Soft (SoLEXS proxy),2017-09-06 22:31:00,5.521346e-06,C-class
Hard (HEL1OS proxy),2017-09-06 22:31:00,4.4805788e-07,N/A
Hard (HEL1OS proxy),2017-09-06 23:38:00,3.7595244e-06,N/A
Soft (SoLEXS proxy),2017-09-06 23:39:00,1.7799883e-05,M-class
Soft (SoLEXS proxy),2017-09-07 00:45:00,3.3179524e-06,C-class
Hard (HEL1OS proxy),2017-09-07 01:28:00,1.9328898e-07,N/A
Hard (HEL1OS proxy),2017-09-07 02:56:00,2.4104608e-07,N/A
Soft (SoLEXS proxy),2017-09-07 02:57:00,3.1495463e-06,C-class
Hard (HEL1OS proxy),2017-09-07 05:02:00,9.49116e-06,N/A
Soft (SoLEXS proxy),2017-09-07 05:02:00,3.5678022e-05,M-class
Hard (HEL1OS proxy),2017-09-07 06:26:00,1.9179797e-06,N/A
Soft (SoLEXS proxy),2017-09-07 06:28:00,1.1779444e-05,M-class
Soft (SoLEXS proxy),2017-09-07 07:34:00,5.0338836e-06,C-class
Hard (HEL1OS proxy),2017-09-07 07:34:00,5.351374e-07,N/A
Hard (HEL1OS proxy),2017-09-07 10:15:00,3.6415302e-05,N/A
Soft (SoLEXS proxy),2017-09-07 10:15:00,0.000109201945,X-class
Hard (HEL1OS proxy),2017-09-07 12:14:00,3.2900098e-07,N/A
Soft (SoLEXS proxy),2017-09-07 12:14:00,4.3894293e-06,C-class
Hard (HEL1OS proxy),2017-09-07 14:35:00,6.0631923e-05,N/A
Soft (SoLEXS proxy),2017-09-07 14:36:00,0.00019906212,X-class
Soft (SoLEXS proxy),2017-09-07 17:16:00,4.544238e-06,C-class
Hard (HEL1OS proxy),2017-09-07 18:12:00,7.6718567e-07,N/A
Soft (SoLEXS proxy),2017-09-07 18:28:00,7.4861127e-06,C-class
Hard (HEL1OS proxy),2017-09-07 19:18:00,5.3057124e-07,N/A
Soft (SoLEXS proxy),2017-09-07 20:17:00,4.722934e-06,C-class
Hard (HEL1OS proxy),2017-09-07 21:37:00,7.5433195e-07,N/A
Soft (SoLEXS proxy),2017-09-07 21:37:00,7.797322e-06,C-class
Soft (SoLEXS proxy),2017-09-07 22:50:00,3.1164063e-06,C-class
Hard (HEL1OS proxy),2017-09-07 22:50:00,1.921747e-07,N/A
Hard (HEL1OS proxy),2017-09-07 23:58:00,1.3245537e-05,N/A
Soft (SoLEXS proxy),2017-09-07 23:59:00,5.60696e-05,M-class
Soft (SoLEXS proxy),2017-09-08 02:24:00,1.870181e-05,M-class
Hard (HEL1OS proxy),2017-09-08 02:24:00,4.1632375e-06,N/A
Soft (SoLEXS proxy),2017-09-08 03:43:00,1.7060114e-05,M-class
Hard (HEL1OS proxy),2017-09-08 03:43:00,3.4335728e-06,N/A
Hard (HEL1OS proxy),2017-09-08 05:36:00,1.9599133e-06,N/A
Soft (SoLEXS proxy),2017-09-08 05:48:00,1.2014845e-05,M-class
Hard (HEL1OS proxy),2017-09-08 06:38:00,1.4703802e-07,N/A
Hard (HEL1OS proxy),2017-09-08 07:48:00,3.1183987e-05,N/A
Soft (SoLEXS proxy),2017-09-08 07:49:00,0.000116233845,X-class
Hard (HEL1OS proxy),2017-09-08 09:38:00,1.2401031e-07,N/A
Soft (SoLEXS proxy),2017-09-08 09:39:00,1.9237675e-06,C-class
Soft (SoLEXS proxy),2017-09-08 10:49:00,2.275294e-06,C-class
Hard (HEL1OS proxy),2017-09-08 10:49:00,1.9495563e-07,N/A
Hard (HEL1OS proxy),2017-09-08 12:13:00,1.4797834e-06,N/A
Soft (SoLEXS proxy),2017-09-08 12:13:00,8.4146595e-06,C-class
Hard (HEL1OS proxy),2017-09-08 14:02:00,2.0090559e-07,N/A
Soft (SoLEXS proxy),2017-09-08 14:02:00,2.6454222e-06,C-class
Hard (HEL1OS proxy),2017-09-08 15:46:00,8.779512e-06,N/A
Soft (SoLEXS proxy),2017-09-08 15:47:00,4.2930547e-05,M-class
Hard (HEL1OS proxy),2017-09-08 18:18:00,1.6806726e-07,N/A
Soft (SoLEXS proxy),2017-09-08 18:18:00,2.6189475e-06,C-class
Soft (SoLEXS proxy),2017-09-08 20:14:00,2.427005e-06,C-class
Hard (HEL1OS proxy),2017-09-08 20:14:00,1.8264693e-07,N/A
Hard (HEL1OS proxy),2017-09-08 22:21:00,2.581342e-07,N/A
Soft (SoLEXS proxy),2017-09-08 22:23:00,3.500403e-06,C-class
Hard (HEL1OS proxy),2017-09-08 23:44:00,7.375852e-06,N/A
Soft (SoLEXS proxy),2017-09-08 23:45:00,3.0716314e-05,M-class
Hard (HEL1OS proxy),2017-09-09 03:07:00,1.5653201e-06,N/A
Soft (SoLEXS proxy),2017-09-09 03:09:00,9.109027e-06,C-class
Hard (HEL1OS proxy),2017-09-09 04:27:00,2.6433306e-06,N/A
Soft (SoLEXS proxy),2017-09-09 04:28:00,1.59702e-05,M-class
Hard (HEL1OS proxy),2017-09-09 06:29:00,2.2031074e-07,N/A
Soft (SoLEXS proxy),2017-09-09 06:56:00,2.4681106e-06,C-class
Hard (HEL1OS proxy),2017-09-09 11:03:00,1.304715e-05,N/A
Soft (SoLEXS proxy),2017-09-09 11:04:00,5.432221e-05,M-class
Hard (HEL1OS proxy),2017-09-09 14:52:00,1.0497232e-07,N/A
Soft (SoLEXS proxy),2017-09-09 14:54:00,2.0637208e-06,C-class
Soft (SoLEXS proxy),2017-09-09 16:32:00,2.4367084e-06,C-class
Hard (HEL1OS proxy),2017-09-09 16:32:00,1.3693558e-07,N/A
Hard (HEL1OS proxy),2017-09-09 19:14:00,1.8110458e-07,N/A
Hard (HEL1OS proxy),2017-09-09 21:07:00,7.245587e-07,N/A
Soft (SoLEXS proxy),2017-09-09 21:11:00,6.799078e-06,C-class
Hard (HEL1OS proxy),2017-09-09 23:09:00,1.5625056e-06,N/A
Soft (SoLEXS proxy),2017-09-09 23:54:00,1.6917063e-05,M-class
Hard (HEL1OS proxy),2017-09-10 03:06:00,1.6041656e-06,N/A
Soft (SoLEXS proxy),2017-09-10 03:09:00,1.2993306e-05,M-class
Hard (HEL1OS proxy),2017-09-10 09:25:00,2.8912334e-07,N/A
Soft (SoLEXS proxy),2017-09-10 09:26:00,3.665153e-06,C-class
Soft (SoLEXS proxy),2017-09-10 11:15:00,1.7881666e-06,C-class
Hard (HEL1OS proxy),2017-09-10 12:50:00,1.8708674e-07,N/A
Soft (SoLEXS proxy),2017-09-10 13:27:00,2.7109133e-06,C-class
Hard (HEL1OS proxy),2017-09-10 14:23:00,2.2518167e-07,N/A
Hard (HEL1OS proxy),2017-09-10 16:03:00,0.00041476297,N/A
Soft (SoLEXS proxy),2017-09-10 16:06:00,0.0011880457,X-class
Hard (HEL1OS proxy),2017-09-10 18:36:00,9.976834e-06,N/A
